id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,language,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020,euphoric|uplifting,english,False
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,60,2020,nostalgic|focused,instrumental,False
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive|energetic,english,True
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020,calm|nostalgic,instrumental,False
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2020,energetic|aggressive,english,False
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2010,dreamy|calm,instrumental,False
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,50,2000,warm|nostalgic,instrumental,False
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,65,1980,nostalgic|moody,instrumental,False
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020,focused|calm,instrumental,False
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2010,uplifting|euphoric,english,False
11,Neon Pulse,Voltage Kids,edm,intense,0.95,128,0.70,0.90,0.03,90,2020,euphoric|energetic,english,False
12,Paper Boats,Willow & Wren,acoustic,relaxed,0.30,84,0.62,0.45,0.95,45,2010,calm|warm,english,False
13,Basement Riff,Iron Alley,rock,intense,0.88,140,0.42,0.60,0.12,68,2010,aggressive|energetic,english,True
14,Velvet Hour,Blue Room Trio,jazz,moody,0.45,96,0.55,0.58,0.82,42,1990,moody|warm,instrumental,False
15,Sleepy Static,LoRoom,lofi,focused,0.38,76,0.50,0.57,0.80,52,2020,calm|dreamy,instrumental,False
16,Festival Sky,Aurora Drop,edm,happy,0.90,124,0.88,0.92,0.06,92,2020,euphoric|uplifting,english,False
17,Front Porch,Willow & Wren,acoustic,happy,0.55,100,0.80,0.60,0.88,48,2010,warm|uplifting,english,False
